"REF_DATE","GEO","DGUID","Lender type","Characteristics of outstanding residential mortgage loans","Residential mortgage loans outstanding","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total outstanding residential mortgages","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992054","1.1.1.1","330340738","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total outstanding residential mortgages","Number of mortgages outstanding","Number","223","units","0","v1374992294","1.1.1.2","1698803","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992055","1.1.2.1","133557822","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages","Number of mortgages outstanding","Number","223","units","0","v1374992295","1.1.2.2","586950","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured outstanding residential mortgages","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992056","1.1.3.1","196782916","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured outstanding residential mortgages","Number of mortgages outstanding","Number","223","units","0","v1374992296","1.1.3.2","1111853","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992057","1.1.4.1","133557822","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992297","1.1.4.2","586950","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","5 years of less, insured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992058","1.1.5.1","1433177","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","5 years of less, insured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992298","1.1.5.2","19472","","","","0"
